https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.73906E+12,09-02-2025 00:00,BTC/USD,96611,97366,94995,96615,86944263.55,899.9043994
1.73897E+12,08-02-2025 00:00,BTC/USD,96579,96908,95748,96621,27495784.26,284.573584
1.73889E+12,07-02-2025 00:00,BTC/USD,96688,100160,95674,96579,63454208.95,657.0186992
1.7388E+12,06-02-2025 00:00,BTC/USD,96614,99222,95922,96678,104620750.6,1082.156754
1.73871E+12,05-02-2025 00:00,BTC/USD,97778,99150,96172,96614,34325495.65,355.2849033
1.73863E+12,04-02-2025 00:00,BTC/USD,101270,101650,96127,97781,89407973.06,914.3695918
1.73854E+12,03-02-2025 00:00,BTC/USD,97600,102390,91657,101270,391423800.4,3865.150592
1.73845E+12,02-02-2025 00:00,BTC/USD,100690,101460,96200,97600,209139988.5,2142.827751
1.73837E+12,01-02-2025 00:00,BTC/USD,102470,102790,100380,100700,26312244.29,261.2933891
1.73828E+12,31-01-2025 00:00,BTC/USD,104740,106040,101670,102470,41061795.9,400.7201708
1.7382E+12,30-01-2025 00:00,BTC/USD,103780,106520,103450,104740,35654932.26,340.4137126
1.73811E+12,29-01-2025 00:00,BTC/USD,101450,104800,101420,103780,33705663.28,324.7799507
1.73802E+12,28-01-2025 00:00,BTC/USD,102290,103850,100380,101460,42789942.31,421.74199
1.73794E+12,27-01-2025 00:00,BTC/USD,102660,103300,97799,102300,125569772.2,1227.466004
1.73785E+12,26-01-2025 00:00,BTC/USD,104700,105440,102660,102660,33504006.52,326.358918
1.73776E+12,25-01-2025 00:00,BTC/USD,104790,105260,104100,104700,14264770.55,136.2442268
1.73768E+12,24-01-2025 00:00,BTC/USD,103930,107030,102700,104790,54377851.8,518.9221472
1.73759E+12,23-01-2025 00:00,BTC/USD,103670,107000,101260,103930,176929668.3,1702.392651
1.7375E+12,22-01-2025 00:00,BTC/USD,106150,106350,103400,103680,53299859.46,514.0804346
1.73742E+12,21-01-2025 00:00,BTC/USD,102190,107360,100100,106150,118710013.2,1118.323252
1.73733E+12,20-01-2025 00:00,BTC/USD,101310,109590,99500,102210,298698287.8,2922.397885
1.73724E+12,19-01-2025 00:00,BTC/USD,104490,106370,99637,101300,105113686.4,1037.647447
1.73716E+12,18-01-2025 00:00,BTC/USD,104040,104960,102200,104490,56625505.03,541.9227202
1.73707E+12,17-01-2025 00:00,BTC/USD,100030,105800,100000,104040,131144590.5,1260.520863
